month  ;gross_ret;  net_ret;turnover;turnover_limited
1947-08;-0.017003;-0.017003;0.000000;        0.000000
1947-09; 0.010172; 0.009972;0.728685;        0.200000
1947-10; 0.030945; 0.030745;0.332083;        0.200000
1947-11;-0.025946;-0.026146;0.902440;        0.200000
1947-12; 0.023540; 0.023340;0.902441;        0.200000
1948-01;-0.020730;-0.020930;0.700000;        0.200000
1948-02;-0.056968;-0.057168;0.698535;        0.200000
1948-03; 0.095018; 0.094818;0.664785;        0.200000
1948-04; 0.039685; 0.039565;0.119641;        0.119641
1948-05; 0.082050; 0.081850;0.244077;        0.200000
1948-06;-0.007750;-0.007950;0.318814;        0.200000
1948-07;-0.057465;-0.057665;0.600000;        0.200000
1948-08;-0.001168;-0.001368;0.750000;        0.200000
1948-09;-0.039078;-0.039277;0.750000;        0.200000
1948-10; 0.054549; 0.054349;0.617142;        0.200000
1948-11;-0.100448;-0.100648;0.439881;        0.200000
1948-12; 0.016460; 0.016260;0.656544;        0.200000
1949-01; 0.015367; 0.015208;0.158934;        0.158934
1949-02;-0.032262;-0.032462;0.359294;        0.200000
1949-03; 0.059625; 0.059425;0.507238;        0.200000
1949-04;-0.028380;-0.028580;0.422118;        0.200000
1949-05;-0.032391;-0.032591;0.235563;        0.200000
1949-06;-0.007050;-0.007250;0.235563;        0.200000
1949-07; 0.062435; 0.062235;0.600000;        0.200000
1949-08; 0.025165; 0.024965;0.744807;        0.200000
1949-09; 0.043493; 0.043293;0.689099;        0.200000
1949-10; 0.045417; 0.045217;0.556872;        0.200000
1949-11; 0.008216; 0.008016;0.823325;        0.200000
1949-12; 0.069098; 0.068898;0.881236;        0.200000
1950-01; 0.036228; 0.036101;0.126870;        0.126870
1950-02; 0.015238; 0.015038;0.410395;        0.200000
1950-03;-0.000333;-0.000533;0.394985;        0.200000
1950-04; 0.050688; 0.050488;0.653163;        0.200000
1950-05; 0.032503; 0.032303;0.540316;        0.200000
1950-06;-0.073002;-0.073202;0.562195;        0.200000
1950-07; 0.050449; 0.050249;0.694166;        0.200000
1950-08; 0.051135; 0.050935;0.646414;        0.200000
1950-09; 0.055175; 0.054975;0.751359;        0.200000
1950-10;-0.004948;-0.005148;0.553421;        0.200000
1950-11; 0.034697; 0.034497;0.681068;        0.200000
1950-12; 0.096300; 0.096100;0.432946;        0.200000
1951-01; 0.059250; 0.059050;0.778778;        0.200000
1951-02; 0.015320; 0.015120;0.366704;        0.200000
