month  ;     ME1;     ME2;     ME3;     ME4;     ME5;     ME6;     ME7;     ME8;     ME9;    ME10
1947-08;0.168286;0.121788;0.108495;0.106790;0.105171;0.111725;0.092872;0.092700;0.064409;0.027764
1947-09;0.400000;0.400000;0.001068;0.000000;0.198932;0.000000;0.000000;0.000000;0.000000;0.000000
1947-10;0.400000;0.400000;0.000000;0.000000;0.137064;0.000000;0.000000;0.000000;0.000000;0.062936
1947-11;0.400000;0.055974;0.067055;0.000000;0.000000;0.046008;0.000000;0.120379;0.133884;0.176700
1947-12;0.400000;0.400000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.200000
1948-01;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000
1948-02;0.000000;0.000000;0.000000;0.000000;0.040031;0.075636;0.217192;0.162370;0.279891;0.224879
1948-03;0.145684;0.072850;0.111081;0.139942;0.076010;0.150501;0.106242;0.098220;0.056344;0.043125
1948-04;0.147734;0.115508;0.115441;0.097722;0.088895;0.132799;0.080997;0.072559;0.077432;0.070913
1948-05;0.137197;0.088367;0.084713;0.101684;0.101674;0.122975;0.119620;0.080686;0.096776;0.066307
1948-06;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000;0.100000
1948-07;0.400000;0.400000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
1948-08;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.400000;0.025000;0.400000;0.025000
1948-09;0.400000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.400000
1948-10;0.258977;0.126423;0.025849;0.024957;0.081286;0.077685;0.048748;0.074965;0.144135;0.136975
1948-11;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.238883;0.000000;0.361117;0.400000
1948-12;0.119663;0.120190;0.081111;0.100884;0.091823;0.108660;0.120268;0.097060;0.094964;0.065378
1949-01;0.089475;0.082384;0.114911;0.143178;0.114739;0.174196;0.109748;0.111040;0.050004;0.010326
1949-02;0.140497;0.099277;0.098645;0.088736;0.081727;0.092549;0.101585;0.074901;0.111404;0.110679
1949-03;0.308251;0.204936;0.161229;0.157140;0.080008;0.056088;0.000000;0.032349;0.000000;0.000000
