month  ;gross_ret;  net_ret;turnover;turnover_limited
1947-08; -0.01822; -0.01822;       0;               0
1947-09; 0.004896; 0.004696;0.384224;             0.2
1947-10; 0.029592; 0.029392;0.385169;             0.2
1947-11;-0.025352;-0.025552;0.410378;             0.2
1947-12; 0.024484; 0.024284;0.328427;             0.2
1948-01;-0.023246;-0.023439;0.192978;        0.192978
1948-02;-0.057008;-0.057196;0.188175;        0.188175
1948-03; 0.091995; 0.091795;0.518507;             0.2
1948-04; 0.042531; 0.042331;0.589118;             0.2
1948-05; 0.082161; 0.081961;0.378025;             0.2
1948-06;-0.012487;-0.012687;0.498295;             0.2
1948-07; -0.05061; -0.05081;0.533955;             0.2
1948-08;-0.006037;-0.006237;   0.504;             0.2
1948-09;-0.042495;-0.042695;0.368061;             0.2
1948-10;  0.05328;  0.05308;0.199237;        0.199237
1948-11;-0.103147;-0.103337;0.190408;        0.190408
1948-12; 0.006316; 0.006116;0.335844;             0.2
1949-01; 0.014171; 0.013971;0.333875;             0.2
1949-02;-0.035648;-0.035848;   0.464;             0.2
1949-03; 0.058505; 0.058305;0.325072;             0.2
1949-04;-0.024139;-0.024339;0.642479;             0.2
1949-05;-0.037896;-0.038096;0.509144;             0.2
1949-06;-0.002023;-0.002223;0.442693;             0.2
1949-07; 0.063399; 0.063199;0.591262;             0.2
1949-08; 0.023195; 0.022995;0.570498;             0.2
1949-09; 0.047971; 0.047771;0.453505;             0.2
1949-10; 0.044677; 0.044477;0.537884;             0.2
1949-11;  0.00809;  0.00789;0.549822;             0.2
1949-12; 0.075015; 0.074815;0.560188;             0.2
1950-01; 0.055608; 0.055408;0.308123;             0.2
1950-02;  0.01602;  0.01582;0.687594;             0.2
1950-03;-0.008745;-0.008945;0.471572;             0.2
1950-04; 0.051424; 0.051224;0.494965;             0.2
1950-05; 0.033514; 0.033314;0.576771;             0.2
1950-06;-0.087142;-0.087342;0.490973;             0.2
1950-07; 0.060738; 0.060538; 0.61578;             0.2
1950-08; 0.046727; 0.046527;0.663525;             0.2
1950-09; 0.056629; 0.056429;0.559115;             0.2
1950-10;-0.005581;-0.005781;0.590078;             0.2
1950-11; 0.034434; 0.034234;0.639175;             0.2
1950-12; 0.113632; 0.113432;0.661926;             0.2
1951-01;  0.07344;  0.07324; 0.68655;             0.2
1951-02; 0.014548; 0.014348;0.699879;             0.2
1951-03; -0.03211; -0.03231;0.948223;             0.2
1951-04; 0.044487; 0.044287;0.320064;             0.2
1951-05;-0.023751;-0.023951;0.783026;             0.2
1951-06;-0.042013;-0.042213;0.610547;             0.2
1951-07; 0.062914; 0.062714;0.583434;             0.2
1951-08; 0.049263; 0.049063;0.641266;             0.2
1951-09; 0.026975; 0.026775;0.709625;             0.2
1951-10;-0.022729;-0.022929;0.708029;             0.2
1951-11;  0.00735;  0.00715; 0.47743;             0.2
1951-12; 0.019576; 0.019376;0.653873;             0.2
1952-01;  0.01752;  0.01732;0.534655;             0.2
1952-02;-0.025278;-0.025478;0.477402;             0.2
