month  ;     ME1;     ME2;     ME3;     ME4;     ME5;     ME6;     ME7;     ME8;     ME9;    ME10
1947-08;0.206341;0.070755;0.148664;0.113166;0.070086;0.119525;0.083532;0.105962;0.070417;0.011553
1947-09;0.137933;0.173375;0.194169;0.052378; 0.13943;0.001197;0.052747;0.074386;0.086042;0.088342
1947-10;0.112659;0.142073;0.100802;0.093332;0.132349;0.024056;       0;0.199705;0.103298;0.091727
1947-11;0.099002;0.097845;0.115266;0.031961;0.068821;0.101677;0.123152;0.109438;0.120896;0.131942
1947-12;0.126446;0.160095;0.117369;0.077848; 0.07869;0.097046;0.059043;0.074322;0.096008;0.113133
1948-01;0.084424;0.102424;0.116089;0.106655;0.069044;0.118279;0.141035;0.002216;0.112085;0.147749
1948-02;0.122571;0.126692;0.079435;0.082548;0.069316;0.090053;0.181268; 0.08427; 0.10527;0.058577
1948-03;       0;  0.1805;0.024743;0.167072;0.131206;0.185324;0.126124;0.040988;0.111189;0.032853
1948-04;0.116794; 0.09419;0.111458; 0.04077;0.134971;0.114806;0.149193;0.090781;0.056054;0.090985
1948-05;0.046623;0.071661;0.129076;0.060499;0.177161;0.090282;0.129908;0.115021;0.098388;0.081382
1948-06;0.139135;0.130968;0.118618;0.063148;0.032156;0.170768;0.103947;0.154739;       0;0.086522
1948-07;       0;0.115701;0.147956;       0;0.076791;0.032353;0.083954;0.194445;0.135363;0.213435
1948-08;0.152342;0.135268; 0.17135;0.114722;0.195682;       0;0.209164;0.021472;       0;       0
1948-09;0.110262; 0.11209;0.128751;0.103714;0.072612;0.135928;0.063117; 0.07397;0.103336; 0.09622
1948-10;0.092713;0.049638;0.119206;0.047436;0.104556;0.130539;0.106263;0.101533;0.078913;0.169204
1948-11;0.050007;0.066028;0.063704;0.139181;0.138521;0.126481;0.160256;0.035845;0.130044; 0.08993
1948-12;0.143739;0.111386;0.108898;0.143949;0.095533;0.049835;0.099331;0.088145;0.149871;0.009312
1949-01;0.046477;       0;0.071989;0.225635;0.104176;0.133764;0.185148;0.128358;0.104452;       0
1949-02;0.037116;0.137591;0.135239;0.074015;0.097371;0.075823;0.054477;0.139539;0.192651;0.056178
