month  ;      ME1;      ME2;      ME3;      ME4;      ME5;      ME6;      ME7;      ME8;      ME9;     ME10
1947-08;-0.035500;-0.019900;-0.022400;-0.010900;-0.011000;-0.012200;-0.000700;-0.026400;-0.020200;-0.017100
1947-09; 0.014600; 0.007600; 0.018200; 0.007900; 0.007000; 0.003900; 0.003600; 0.006700; 0.004000;-0.010400
1947-10; 0.030900; 0.049700; 0.038300; 0.032500; 0.023200; 0.039900; 0.033400; 0.016200; 0.027800; 0.023600
1947-11;-0.022600;-0.032300;-0.040800;-0.033000;-0.031800;-0.023700;-0.025600;-0.031100;-0.023200;-0.014300
1947-12; 0.023700; 0.014800; 0.018800; 0.012200; 0.019000; 0.022700; 0.027300; 0.029000; 0.036300; 0.032200
1948-01; 0.028200;-0.017400;-0.020500;-0.017000;-0.017300;-0.031700;-0.018400;-0.027200;-0.042500;-0.043500
1948-02;-0.076600;-0.068100;-0.066500;-0.066300;-0.049300;-0.069000;-0.059100;-0.049200;-0.049500;-0.036900
1948-03; 0.097800; 0.111800; 0.089400; 0.089100; 0.090500; 0.100500; 0.094800; 0.103500; 0.113100; 0.069800
1948-04; 0.067900; 0.034200; 0.038100; 0.032000; 0.022500; 0.034300; 0.061900; 0.043100; 0.037600; 0.034500
1948-05; 0.114900; 0.081700; 0.088000; 0.090400; 0.072200; 0.099300; 0.080700; 0.073900; 0.089300; 0.069100
1948-06; 0.001700;-0.002100;-0.004800;-0.010200;-0.013200;-0.021100;-0.015400;-0.013800;-0.004600; 0.006000
1948-07;-0.061400;-0.056600;-0.058500;-0.039200;-0.057300;-0.050900;-0.054500;-0.044600;-0.057300;-0.048300
1948-08;-0.011100;-0.019300;-0.003900;-0.006000;-0.003500; 0.009900;-0.000700; 0.006300;-0.000800; 0.004900
1948-09;-0.052600;-0.052000;-0.039400;-0.034000;-0.048900;-0.041200;-0.044500;-0.043700;-0.030600;-0.024200
1948-10; 0.051900; 0.047600; 0.058800; 0.041200; 0.047800; 0.049700; 0.058200; 0.057000; 0.051600; 0.064200
1948-11;-0.103600;-0.125900;-0.117500;-0.096500;-0.103500;-0.099200;-0.118600;-0.095100;-0.101300;-0.087500
1948-12;-0.029700;-0.002100; 0.007400; 0.000400; 0.012100; 0.023100; 0.021900; 0.030000; 0.034700; 0.037300
1949-01; 0.034300; 0.036000; 0.019700; 0.015300; 0.012500;-0.002300; 0.016700; 0.015600; 0.008000;-0.001200
1949-02;-0.049500;-0.045400;-0.053500;-0.053300;-0.040600;-0.034500;-0.032600;-0.022900;-0.019500;-0.028900
1949-03; 0.072200; 0.067700; 0.066600; 0.060400; 0.065700; 0.060100; 0.057700; 0.041800; 0.045800; 0.036200
1949-04;-0.024800;-0.029400;-0.026100;-0.038600;-0.022100;-0.044000;-0.034900;-0.029100;-0.023000;-0.011800
1949-05;-0.058800;-0.068600;-0.053100;-0.033900;-0.030100;-0.039600;-0.036200;-0.018100;-0.018100;-0.030100
1949-06;-0.008900;-0.011200;-0.016300;-0.010000;-0.011300;-0.018600;-0.009300; 0.002000; 0.009400; 0.003700
1949-07; 0.075700; 0.049300; 0.060800; 0.069200; 0.067100; 0.066200; 0.066500; 0.061500; 0.051400; 0.054700
1949-08; 0.012200; 0.030600; 0.019400; 0.028300; 0.038800; 0.021800; 0.026200; 0.020500; 0.017800; 0.029800
1949-09; 0.055600; 0.036400; 0.044300; 0.050600; 0.042200; 0.043500; 0.043800; 0.042400; 0.038100; 0.026600
1949-10; 0.076600; 0.045300; 0.048200; 0.030700; 0.037400; 0.035200; 0.025700; 0.027800; 0.025800; 0.034000
1949-11;-0.016800;-0.002800; 0.003100; 0.007700; 0.010900; 0.012800; 0.024700; 0.017100; 0.028800; 0.018500
1949-12; 0.093700; 0.071600; 0.082700; 0.063900; 0.075100; 0.083900; 0.060500; 0.061800; 0.059000; 0.045400
1950-01; 0.056500; 0.066000; 0.042200; 0.044500; 0.053700; 0.038700; 0.024700; 0.024300; 0.021100; 0.011600
1950-02; 0.026000; 0.024300; 0.025500; 0.015900; 0.001700; 0.013100; 0.016200; 0.016900; 0.019800; 0.014300
1950-03;-0.001800;-0.001000;-0.016300; 0.000900;-0.008300; 0.001600;-0.002800; 0.011500; 0.003400; 0.019700
1950-04; 0.062900; 0.064500; 0.055700; 0.061800; 0.061100; 0.056200; 0.038200; 0.032800; 0.037300; 0.041100
1950-05; 0.036400; 0.017500; 0.020900; 0.034100; 0.026100; 0.022500; 0.042100; 0.031100; 0.040500; 0.050200
1950-06;-0.098200;-0.103500;-0.083900;-0.078700;-0.072400;-0.075800;-0.069100;-0.079200;-0.061700;-0.051100
1950-07; 0.095400; 0.086200; 0.071200; 0.060400; 0.042700; 0.047000; 0.027500; 0.035600; 0.017000; 0.005100
1950-08; 0.044700; 0.050700; 0.046600; 0.045100; 0.061000; 0.046800; 0.048600; 0.039300; 0.046100; 0.051300
1950-09; 0.043000; 0.033800; 0.052000; 0.061200; 0.050100; 0.062800; 0.063200; 0.060600; 0.057300; 0.044300
1950-10;-0.004500;-0.006500;-0.004800; 0.008000;-0.003000;-0.003800;-0.011100;-0.013100;-0.010100; 0.004100
