month  ;    ME1;    ME2;    ME3;    ME4;    ME5;    ME6;    ME7;    ME8;    ME9;   ME10
1947-08;-0.0355;-0.0199;-0.0224;-0.0109; -0.011;-0.0122;-0.0007;-0.0264;-0.0202;-0.0171
1947-09; 0.0146; 0.0076; 0.0182; 0.0079;  0.007; 0.0039; 0.0036; 0.0067;  0.004;-0.0104
1947-10; 0.0309; 0.0497; 0.0383; 0.0325; 0.0232; 0.0399; 0.0334; 0.0162; 0.0278; 0.0236
1947-11;-0.0226;-0.0323;-0.0408; -0.033;-0.0318;-0.0237;-0.0256;-0.0311;-0.0232;-0.0143
1947-12; 0.0237; 0.0148; 0.0188; 0.0122;  0.019; 0.0227; 0.0273;  0.029; 0.0363; 0.0322
1948-01; 0.0282;-0.0174;-0.0205; -0.017;-0.0173;-0.0317;-0.0184;-0.0272;-0.0425;-0.0435
1948-02;-0.0766;-0.0681;-0.0665;-0.0663;-0.0493; -0.069;-0.0591;-0.0492;-0.0495;-0.0369
1948-03; 0.0978; 0.1118; 0.0894; 0.0891; 0.0905; 0.1005; 0.0948; 0.1035; 0.1131; 0.0698
1948-04; 0.0679; 0.0342; 0.0381;  0.032; 0.0225; 0.0343; 0.0619; 0.0431; 0.0376; 0.0345
1948-05; 0.1149; 0.0817;  0.088; 0.0904; 0.0722; 0.0993; 0.0807; 0.0739; 0.0893; 0.0691
1948-06; 0.0017;-0.0021;-0.0048;-0.0102;-0.0132;-0.0211;-0.0154;-0.0138;-0.0046;  0.006
1948-07;-0.0614;-0.0566;-0.0585;-0.0392;-0.0573;-0.0509;-0.0545;-0.0446;-0.0573;-0.0483
1948-08;-0.0111;-0.0193;-0.0039; -0.006;-0.0035; 0.0099;-0.0007; 0.0063;-0.0008; 0.0049
1948-09;-0.0526; -0.052;-0.0394; -0.034;-0.0489;-0.0412;-0.0445;-0.0437;-0.0306;-0.0242
1948-10; 0.0519; 0.0476; 0.0588; 0.0412; 0.0478; 0.0497; 0.0582;  0.057; 0.0516; 0.0642
1948-11;-0.1036;-0.1259;-0.1175;-0.0965;-0.1035;-0.0992;-0.1186;-0.0951;-0.1013;-0.0875
1948-12;-0.0297;-0.0021; 0.0074; 0.0004; 0.0121; 0.0231; 0.0219;   0.03; 0.0347; 0.0373
1949-01; 0.0343;  0.036; 0.0197; 0.0153; 0.0125;-0.0023; 0.0167; 0.0156;  0.008;-0.0012
1949-02;-0.0495;-0.0454;-0.0535;-0.0533;-0.0406;-0.0345;-0.0326;-0.0229;-0.0195;-0.0289
1949-03; 0.0722; 0.0677; 0.0666; 0.0604; 0.0657; 0.0601; 0.0577; 0.0418; 0.0458; 0.0362
1949-04;-0.0248;-0.0294;-0.0261;-0.0386;-0.0221; -0.044;-0.0349;-0.0291; -0.023;-0.0118
1949-05;-0.0588;-0.0686;-0.0531;-0.0339;-0.0301;-0.0396;-0.0362;-0.0181;-0.0181;-0.0301
1949-06;-0.0089;-0.0112;-0.0163;  -0.01;-0.0113;-0.0186;-0.0093;  0.002; 0.0094; 0.0037
1949-07; 0.0757; 0.0493; 0.0608; 0.0692; 0.0671; 0.0662; 0.0665; 0.0615; 0.0514; 0.0547
1949-08; 0.0122; 0.0306; 0.0194; 0.0283; 0.0388; 0.0218; 0.0262; 0.0205; 0.0178; 0.0298
1949-09; 0.0556; 0.0364; 0.0443; 0.0506; 0.0422; 0.0435; 0.0438; 0.0424; 0.0381; 0.0266
1949-10; 0.0766; 0.0453; 0.0482; 0.0307; 0.0374; 0.0352; 0.0257; 0.0278; 0.0258;  0.034
1949-11;-0.0168;-0.0028; 0.0031; 0.0077; 0.0109; 0.0128; 0.0247; 0.0171; 0.0288; 0.0185
1949-12; 0.0937; 0.0716; 0.0827; 0.0639; 0.0751; 0.0839; 0.0605; 0.0618;  0.059; 0.0454
1950-01; 0.0565;  0.066; 0.0422; 0.0445; 0.0537; 0.0387; 0.0247; 0.0243; 0.0211; 0.0116
1950-02;  0.026; 0.0243; 0.0255; 0.0159; 0.0017; 0.0131; 0.0162; 0.0169; 0.0198; 0.0143
