month  ;     ME1;     ME2;     ME3;     ME4;     ME5;     ME6;     ME7;     ME8;     ME9;    ME10
1947-08; 0.00126;0.000396;0.000502;0.000119;0.000121;0.000149;       0;0.000697;0.000408;0.000292
1947-09;0.000213;0.000058;0.000331;0.000062;0.000049;0.000015;0.000013;0.000045;0.000016;0.000108
1947-10;0.000955; 0.00247;0.001467;0.001056;0.000538;0.001592;0.001116;0.000262;0.000773;0.000557
1947-11;0.000511;0.001043;0.001665;0.001089;0.001011;0.000562;0.000655;0.000967;0.000538;0.000204
1947-12;0.000562;0.000219;0.000353;0.000149;0.000361;0.000515;0.000745;0.000841;0.001318;0.001037
1948-01;0.000795;0.000303; 0.00042;0.000289;0.000299;0.001005;0.000339; 0.00074;0.001806;0.001892
1948-02;0.005868;0.004638;0.004422;0.004396; 0.00243;0.004761;0.003493;0.002421; 0.00245;0.001362
1948-03;0.009565;0.012499;0.007992;0.007939; 0.00819;  0.0101;0.008987;0.010712;0.012792;0.004872
1948-04; 0.00461; 0.00117;0.001452;0.001024;0.000506;0.001176;0.003832;0.001858;0.001414; 0.00119
1948-05;0.013202;0.006675;0.007744;0.008172;0.005213; 0.00986;0.006512;0.005461;0.007974;0.004775
1948-06;0.000003;0.000004;0.000023;0.000104;0.000174;0.000445;0.000237; 0.00019;0.000021;0.000036
1948-07; 0.00377;0.003204;0.003422;0.001537;0.003283;0.002591; 0.00297;0.001989;0.003283;0.002333
1948-08;0.000123;0.000372;0.000015;0.000036;0.000012;0.000098;       0; 0.00004;0.000001;0.000024
1948-09;0.002767;0.002704;0.001552;0.001156;0.002391;0.001697; 0.00198; 0.00191;0.000936;0.000586
1948-10;0.002694;0.002266;0.003457;0.001697;0.002285; 0.00247;0.003387;0.003249;0.002663;0.004122
1948-11;0.010733;0.015851;0.013806;0.009312;0.010712;0.009841;0.014066;0.009044;0.010262;0.007656
1948-12;0.000882;0.000004;0.000055;       0;0.000146;0.000534; 0.00048;  0.0009;0.001204;0.001391
1949-01;0.001176;0.001296;0.000388;0.000234;0.000156;0.000005;0.000279;0.000243;0.000064;0.000001
1949-02; 0.00245;0.002061;0.002862;0.002841;0.001648; 0.00119;0.001063;0.000524; 0.00038;0.000835
1949-03;0.005213;0.004583;0.004436;0.003648;0.004316;0.003612;0.003329;0.001747;0.002098; 0.00131
1949-04;0.000615;0.000864;0.000681; 0.00149;0.000488;0.001936;0.001218;0.000847;0.000529;0.000139
1949-05;0.003457;0.004706; 0.00282;0.001149;0.000906;0.001568; 0.00131;0.000328;0.000328;0.000906
1949-06;0.000079;0.000125;0.000266;  0.0001;0.000128;0.000346;0.000086;0.000004;0.000088;0.000014
1949-07; 0.00573; 0.00243;0.003697;0.004789;0.004502;0.004382;0.004422;0.003782;0.002642;0.002992
1949-08;0.000149;0.000936;0.000376;0.000801;0.001505;0.000475;0.000686; 0.00042;0.000317;0.000888
